hospitalname,country,phone
COOSA VALLEY MEDICAL CENTER,TALLADEGA,2562495000
COOSA VALLEY MEDICAL CENTER,TALLADEGA,2562495000
COOSA VALLEY MEDICAL CENTER,TALLADEGA,2562495000
COOSA VALLEY MEDICAL CENTER,TALLADEGA,2562495000
COOSA VALLEY MEDICAL CENTER,TALLADEGA,2562495000
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2562495000
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2562495000
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
UAB HIGHLANDS,JEFFERSON,2059757100
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
SUMMIT HOSPITAL,RUSSELL,3347323456
